RELEASE_YEAR,PROD_COMPANY_NAME,BUDGET,REVENUE,PROFIT,POPULARITY,N_ANIMATION,N_COMEDY,N_FAMILY,N_ADVENTURE,N_FANTASY,N_DRAMA,N_ROMANCE,N_ACTION,N_CRIME,N_THRILLER,N_HISTORY,N_SCIENCE_FICTION,N_MYSTERY,N_HORROR,N_WAR,N_FOREIGN,N_DOCUMENTARY,N_WESTERN,N_MUSIC,N_TV_MOVIE
1948,Produzioni De Sica,133000,361712,228712,13.233136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,RKO Radio Pictures,2500000,3000000,500000,5.499979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1948,Sydney Box Productions,3920850,4171660,250810,0.578456,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1948,Transatlantic Pictures,6000000,8800000,2800000,7.248676,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1948,United Artists,3000000,9012000,6012000,6.09018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1948,Warner Bros.,21200000,26028000,4828000,7.659632500000001,0,0,0,1,0,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0
1949,Paramount Pictures,6000000,23000000,17000000,2.528638,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,RKO Radio Pictures,1600000,5400000,3800000,7.715087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1949,Republic Pictures (I),4000000,31200000,27200000,2.828371,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1950,Daiei Motion Picture Company,750000,289704,-460296,9.887355,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1950,Metro-Goldwyn-Mayer (MGM),18843925,40000000,21156075,2.090588,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1950,Paramount Pictures,1752000,5000000,3248000,11.709777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,RKO Radio Pictures,11600000,1054365660,1042765660,14.436858,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,Twentieth Century Fox Film Corporation,3515000,2102463,-1412537,6.0864965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1950,Walt Disney Productions,11600000,1054365660,1042765660,14.436858,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,Charles K. Feldman Group,1800000,8000000,6200000,7.301719,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,Independent Film Distributors,3900000,32250000,28350000,6.636872,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1951,Loew's,10895612,18000000,7104388,5.565203,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1951,Metro-Goldwyn-Mayer (MGM),40245612,130000000,89754388,6.868860777777779,0,1,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,2,0
1951,Paramount Pictures,1821052,1300000,-521052,11.046411,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,RKO Radio Pictures,12000000,2288000000,2276000000,16.488937,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,Romulus Films,3900000,32250000,28350000,6.636872,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1951,United Artists,3900000,32250000,28350000,6.636872,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1951,Walt Disney Productions,12000000,2288000000,2276000000,16.488937,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,Warner Bros.,5400000,29000000,23600000,13.38872725,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1952,Loew's,9015000,20238000,11223000,3.803547,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1952,Metro-Goldwyn-Mayer (MGM),16637400,41838000,25200600,7.4342025000000005,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1952,Paramount Pictures,12000000,108000000,96000000,4.011363,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1952,Stanley Kramer Productions,730000,8000000,7270000,16.715935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1952,United Artists,730000,8000000,7270000,16.715935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1953,Bryan Foy Productions,1974000,71400000,69426000,9.072006,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
1953,Columbia Pictures Corporation,4950000,91500000,86550000,5.358582000000001,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1953,Jack Dietz Productions,630000,15000000,14370000,3.424057,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1953,Paramount Pictures,9000000,30000000,21000000,8.1475618,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
1953,Paramount Pictures Corporation,6200000,40000000,33800000,6.63816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1953,RKO Radio Pictures,20000000,437023255,417023255,16.861533,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1953,Three Dimension Pictures,16000,1000000,984000,0.892476,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1953,Twentieth Century Fox Film Corporation,13265000,76215000,62950000,12.337697571428572,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1953,Walt Disney Productions,20000000,437023255,417023255,16.861533,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1953,Warner Bros.,2604000,86400000,83796000,6.2480315,0,0,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0
1954,Columbia Pictures,1820000,19200000,17380000,18.211093,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1954,Horizon Pictures,1820000,19200000,17380000,18.211093,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1954,Paramount Pictures,9716439,140292939,130576500,12.6355275,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1954,Stanley Kramer Productions,4000000,43500000,39500000,8.999948,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1954,Toho Company,4000000,543682,-3456318,15.01777,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1954,Twentieth Century Fox Film Corporation,10000000,30000000,20000000,10.374608,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1954,Victor Saville Productions,9000000,6400000,-2600000,0.313032,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,Walt Disney Productions,15000000,84600000,69600000,8.722406,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1954,Warner Bros.,13200000,15400000,2200000,4.8371514,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
1955,Alfred J. Hitchcock Productions,3600000,21000000,17400000,6.486117,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1955,American Releasing Corporation (ARC) (II),198000,750000,552000,1.114697,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1955,Hecht-Lancaster Productions,686000,6000000,5314000,11.589081,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,Loew's,3813000,11364000,7551000,7.441117000000001,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1955,Metro-Goldwyn-Mayer (MGM),3813000,11364000,7551000,7.441117000000001,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1955,Palo Alto Productions,198000,750000,552000,1.114697,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1955,Paramount Pictures,16100000,64750000,48650000,5.8638595,0,1,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,0,0,0
1955,United Artists,686000,6000000,5314000,11.589081,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,Warner Bros.,1,5,4,6.42883,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,Joanna Productions,4000000,14400000,10400000,1.801071,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,Metro-Goldwyn-Mayer (MGM),7620000,13110000,5490000,5.471918499999999,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1956,Michael Todd Company,30000000,210000000,180000000,6.164226,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,Motion Picture Associates,26000000,245400000,219400000,11.14704,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
