RELEASE_YEAR,GENRE,BUDGET,REVENUE,PROFIT,POPULARITY
1980,Horror,43050000,191699464,148649464,64.595477
1980,Music,62000000,204884272,142884272,16.706725
1980,Mystery,36500000,83205253,46705253,24.468207000000003
1980,Romance,60500000,143843181,83343181,37.275158999999995
1980,Science Fiction,129500000,791685558,662185558,51.053881999999994
1980,Thriller,66300000,137074164,70774164,57.071212
1980,War,4500000,7206220,2706220,5.395103
1980,Western,54000000,19279520,-34720480,7.9511840000000005
1981,Action,145000000,888520203,743520203,90.32655999999999
1981,Adventure,169300000,916850673,747550673,106.131365
1981,Animation,12048740,30755401,18706661,10.742828
1981,Comedy,130600000,547668075,417068075,93.44217199999999
1981,Crime,15000000,26797457,11797457,7.531809
1981,Documentary,5000000,2028612,-2971388,0.303062
